Module ID,Module Name,Range Min,Range Max,Feedback
1,Accuracy In English,90,100,"Speak grammatically correct English.  Have the ability to translate thoughts and intent into its articulation with the correct use of grammar, spelling and punctuation. Can produce clear, well‐structured, detailed text on complex subjects, showing controlled use of organisational patterns, connectors and cohesive devices."
1,Accuracy In English,59,90,Speak good urban Indian English. Have good expressive and receptive language skills. Can express self fluently and spontaneously without much obvious searching for expressions. Under stress may show minor errors in expression. 
1,Accuracy In English,30,59,Can express self in English but sometimes with incorrect word order. Can understand and use familiar everyday expressions and very basic phrases aimed at the satisfaction of needs of a concrete type. May display  grammar errors in a conversation which do not interfere with meaning. 
1,Accuracy In English,0,29,"Although can speak sentences, may not be able to make a conversation in English.  Can communicate in simple and routine tasks requiring a simple and direct exchange of information on familiar and routine matters. Able to answer simple questions.  "
2,English Comprehension,90,100,"Can comprehend complex language exchanges and make inferential conclusions. Are able to express ideas in English in a good flow and sequence even for unfamiliar topics. Can express self spontaneously, fluently and precisely, differentiating finer shades of meaning even in complex situations."
2,English Comprehension,59,90,"Can comprehend spontaneous conversation to contribute meaningfully. Are able to express ideas in English in a good flow and sequence on familiar topics. Can understand the main ideas on both concrete and abstract topics, including technical discussions in the field of specialisation."
2,English Comprehension,30,59,"Can understand simple English especially on familiar topics. Can understand the main points of clear standard input on familiar matters regularly encountered in work, study, leisure, etc. May experience some difficulty expressing in English."
2,English Comprehension,0,29,"Can understand sentences and frequently used expressions related to areas of most immediate relevance. Understand English in short sentences, mainly as Questions and Answers . May not able to express ideas completely in English. "
3,Verbal Reasoning,90,100,Can communicate effectively and have the ability for complex reasoning with words. Understand the relationship between words and ideas. Have ability to abstract or generalize and to think constructively rather than simple fluency or vocabulary.
3,Verbal Reasoning,59,90,Have ease in understanding the relationship between words and ideas and can communicate effectively and fluently. Can understand concepts framed in words.
3,Verbal Reasoning,30,59,Have some degree of comfort in communicating and reasoning with words however may face difficulty to abstract or generalize with them.
3,Verbal Reasoning,0,29,Can comprehend simple concepts framed in words. However may face difficulty in performing complex reasoning with words.
4,Abstract Reasoning,90,100,"Have the ability to deal with complex data or concepts; develop new strategies or policies, to perform a high degree of problem solving, and/or; performing non-routine tasks where initiative is required."
4,Abstract Reasoning,59,90,Can deal with data or concepts in abstract form for problem solving and are able to perceive analogies and relationships thereby understanding higher levels of abstraction.
4,Abstract Reasoning,30,59,Can work on basic concepts of abstract thinking for problem solving. Along with identifying the underlying logic of a pattern and then determining the solution.
4,Abstract Reasoning,0,29,"Can work on concrete concepts. However, may face difficulty in working out new concepts and complex abstract ideas."
